title,avg_rating,rating_count,bias_score,is_underserved
Toy Story (1995),3.89,76813,-0.09,0
Jumanji (1995),3.28,30209,-0.39,0
Grumpier Old Men (1995),3.17,15820,-0.45,0
Waiting to Exhale (1995),2.87,3028,-0.62,0
Father of the Bride Part II (1995),3.08,15801,-0.5,0
Heat (1995),3.86,31850,-0.1,0
Sabrina (1995),3.37,15596,-0.34,0
Tom and Huck (1995),3.12,1584,-0.44,0
Sudden Death (1995),3.0,4563,-0.51,0
GoldenEye (1995),3.43,34942,-0.31,0
"American President, The (1995)",3.66,20256,-0.17,0
Dracula: Dead and Loving It (1995),2.68,4715,-0.7,0
Balto (1995),3.36,2278,-0.31,0
Nixon (1995),3.43,6933,-0.3,0
Cutthroat Island (1995),2.73,3249,-0.68,0
Casino (1995),3.83,23932,-0.11,0
Sense and Sensibility (1995),3.95,25248,-0.08,0
Four Rooms (1995),3.42,6688,-0.3,0
Ace Ventura: When Nature Calls (1995),2.67,26642,-0.72,0
Money Train (1995),2.89,4771,-0.62,0
Get Shorty (1995),3.57,26183,-0.2,0
Copycat (1995),3.3,11390,-0.37,0
Assassins (1995),3.16,5101,-0.45,0
Powder (1995),3.17,9369,-0.44,0
Leaving Las Vegas (1995),3.66,25450,-0.17,0
Othello (1995),3.6,3063,-0.16,0
Now and Then (1995),3.42,1941,-0.28,0
Persuasion (1995),4.04,3497,-0.02,0
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3.91,10445,-0.08,0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.64,1377,-0.13,0
Dangerous Minds (1995),3.24,12067,-0.42,0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.9,59730,-0.09,0
Babe (1995),3.59,37698,-0.19,0
Carrington (1995),3.49,1586,-0.25,0
Dead Man Walking (1995),3.92,24403,-0.08,0
It Takes Two (1995),2.94,802,-0.55,0
Clueless (1995),3.43,31746,-0.31,0
"Cry, the Beloved Country (1995)",3.65,948,-0.11,0
Richard III (1995),3.84,5149,-0.08,0
Dead Presidents (1995),3.05,2671,-0.48,0
Restoration (1995),3.47,2692,-0.27,0
Mortal Kombat (1995),2.64,13759,-0.73,0
To Die For (1995),3.37,9951,-0.33,0
How to Make an American Quilt (1995),3.26,3367,-0.37,0
Seven (a.k.a. Se7en) (1995),4.09,65666,-0.04,0
Pocahontas (1995),2.98,17562,-0.6,0
When Night Is Falling (1995),3.55,276,-0.11,0
"Usual Suspects, The (1995)",4.27,72893,-0.03,0
Guardian Angel (1994),2.61,36,-0.51,0
Mighty Aphrodite (1995),3.53,10540,-0.21,0
Lamerica (1994),3.68,166,-0.03,0
"Big Green, The (1995)",2.83,1116,-0.61,0
Georgia (1995),3.23,984,-0.37,0
Kids of the Round Table (1995),2.06,83,-0.71,0
Home for the Holidays (1995),3.32,2556,-0.34,0
"Postman, The (Postino, Il) (1994)",3.96,13551,-0.08,0
"Confessional, The (Confessionnal, Le) (1995)",3.6,208,-0.07,0
"Indian in the Cupboard, The (1995)",3.06,7813,-0.5,0
Eye for an Eye (1996),3.33,2512,-0.34,0
Mr. Holland's Opus (1995),3.74,24000,-0.14,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),3.13,2934,-0.45,0
Two if by Sea (1996),2.84,2205,-0.62,0
Bio-Dome (1996),2.4,6004,-0.81,0
Lawnmower Man 2: Beyond Cyberspace (1996),2.16,2615,-0.84,0
Two Bits (1995),3.34,184,-0.23,0
French Twist (Gazon maudit) (1995),3.46,1332,-0.26,0
Friday (1995),3.55,5626,-0.19,0
From Dusk Till Dawn (1996),3.34,17698,-0.35,0
Fair Game (1995),2.35,1391,-0.79,0
Kicking and Screaming (1995),3.48,1440,-0.25,0
"Misérables, Les (1995)",3.8,3448,-0.09,0
Bed of Roses (1996),3.3,3864,-0.36,0
Big Bully (1996),2.45,611,-0.74,0
Screamers (1995),3.03,3836,-0.5,0
Nico Icon (1995),3.44,231,-0.2,0
"Crossing Guard, The (1995)",3.17,1314,-0.4,0
"Juror, The (1996)",3.16,6403,-0.45,0
"White Balloon, The (Badkonake sefid) (1995)",3.73,622,-0.07,0
Things to Do in Denver When You're Dead (1995),3.26,3519,-0.37,0
Antonia's Line (Antonia) (1995),4.01,2759,-0.01,0
Once Upon a Time... When We Were Colored (1995),3.65,617,-0.1,0
Last Summer in the Hamptons (1995),3.38,168,-0.21,0
Angels and Insects (1995),3.54,2852,-0.19,0
White Squall (1996),3.48,4657,-0.27,0
Dunston Checks In (1996),2.42,1155,-0.77,0
Black Sheep (1996),3.13,6196,-0.46,0
Nick of Time (1995),3.13,3594,-0.45,0
The Journey of August King (1995),3.34,228,-0.24,0
Mary Reilly (1996),2.85,2497,-0.62,0
Vampire in Brooklyn (1995),2.5,2256,-0.73,0
Beautiful Girls (1996),3.53,4477,-0.2,0
Broken Arrow (1996),3.1,26437,-0.49,0
In the Bleak Midwinter (1995),3.69,523,-0.08,0
"Hate (Haine, La) (1995)",4.01,3623,-0.02,0
Shopping (1994),2.66,97,-0.57,0
Heidi Fleiss: Hollywood Madam (1995),3.11,776,-0.42,0
City Hall (1996),3.23,4497,-0.41,0
Bottle Rocket (1996),3.76,5415,-0.11,0
Mr. Wrong (1996),2.42,2157,-0.79,0
Unforgettable (1996),3.27,1223,-0.34,0
Happy Gilmore (1996),3.4,24799,-0.33,0
"Bridges of Madison County, The (1995)",3.34,11567,-0.35,0
Nobody Loves Me (Keiner liebt mich) (1994),3.41,140,-0.19,0
Muppet Treasure Island (1996),3.2,8347,-0.43,0
Catwalk (1996),3.05,137,-0.37,0
Braveheart (1995),4.0,75514,-0.08,0
Taxi Driver (1976),4.08,39051,-0.04,0
Rumble in the Bronx (Hont faan kui) (1995),3.4,13713,-0.32,0
Before and After (1996),3.12,1168,-0.43,0
Margaret's Museum (1995),3.64,259,-0.07,0
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",3.38,56,-0.14,0
Anne Frank Remembered (1995),3.9,1058,-0.03,0
"Young Poisoner's Handbook, The (1995)",3.59,1322,-0.15,0
If Lucy Fell (1996),3.01,1184,-0.47,0
"Steal Big, Steal Little (1995)",2.79,273,-0.57,0
Race the Sun (1996),2.89,171,-0.51,0
"Boys of St. Vincent, The (1992)",3.73,870,-0.08,0
Boomerang (1992),2.86,4169,-0.63,0
Chungking Express (Chung Hing sam lam) (1994),4.0,3683,-0.02,0
"Star Maker, The (Uomo delle stelle, L') (1995)",3.49,350,-0.2,0
Flirting With Disaster (1996),3.73,3760,-0.12,0
"NeverEnding Story III, The (1994)",2.34,1590,-0.79,0
"Silences of the Palace, The (Saimt el Qusur) (1994)",3.25,55,-0.2,0
Jupiter's Wife (1994),3.49,81,-0.12,0
Pie in the Sky (1996),3.17,204,-0.34,0
Angela (1995),3.25,51,-0.22,0
Frankie Starlight (1995),3.31,199,-0.25,0
Jade (1995),2.77,2265,-0.65,0
Sonic Outlaws (1995),3.64,39,0.05,1
Down Periscope (1996),3.0,7911,-0.51,0
From the Journals of Jean Seberg (1995),3.58,110,-0.05,0
Man of the Year (1995),3.3,242,-0.27,0
"Neon Bible, The (1995)",3.29,152,-0.25,0
Target (1995),3.1,48,-0.28,0
Up Close and Personal (1996),3.31,5682,-0.36,0
"Birdcage, The (1996)",3.52,26960,-0.22,0
Shadows (Cienie) (1988),3.06,43,-0.29,0
"Brothers McMullen, The (1995)",3.46,4711,-0.28,0
