genres,avg_rating,rating_count
Drama,3.651830282861897,40868
Comedy,3.3844760672703753,38650
Action,3.436599115170544,28028
Thriller,3.4911935838968393,25436
Adventure,3.500138741155251,21623
Romance,3.50434368344356,17842
Crime,3.648603455750294,16147
Sci-Fi,3.447081712062257,15420
Fantasy,3.4754934365851353,10589
Children,3.391304347826087,8418
Mystery,3.618347624880904,7347
Horror,3.2569590152468875,7149
Animation,3.6200576276612773,6247
War,3.815347470081881,4763
Musical,3.536663124335813,3764
Western,3.5896029258098223,1914
Documentary,3.796849087893864,1206
Film-Noir,3.920114942528736,870
