genres,avg_rating,rating_count
Drama,3.681834486000335,14377237
Comedy,3.4328960998402667,11719520
Action,3.469230780913748,9217881
Thriller,3.5324089637064824,8793416
Adventure,3.5228281844148106,7133375
Romance,3.546814000864465,5774672
Crime,3.6842266853636545,5465408
Sci-Fi,3.4872784967821095,5317925
Fantasy,3.50914874078035,3441020
Children,3.422491420576337,2633044
Mystery,3.659232723158997,2612095
Horror,3.3067651658859663,2553049
Animation,3.6171411863901004,2074343
War,3.8052974998889186,1665446
Musical,3.528538120815825,1116857
Western,3.602432789733011,626318
Documentary,3.693743300319752,436588
Film-Noir,3.9159624604520924,318917
